txn_id,settlement_id,order_id,break_hop,label
pay_100001,stl_200001,ORD-2001,NONE,CLEAN
pay_100002,stl_200002,ORD-2002,LEDGER,LEDGER_NOT_UPDATED
pay_100003,stl_200003,ORD-2003,NONE,CLEAN
pay_100004,,ORD-2004,GATEWAY,SETTLEMENT_MISSING
pay_100005,stl_200005,ORD-2005,NONE,CLEAN
pay_100006,stl_200006,ORD-2006,NONE,CLEAN
pay_100007,stl_200007,ORD-2007,NONE,CLEAN
pay_100008,stl_200008,ORD-2008,NONE,CLEAN
pay_100009,stl_200009,ORD-2009,NONE,CLEAN
pay_100010,stl_200010,ORD-2010,NONE,CLEAN
pay_100011,stl_200011,ORD-2011,NONE,CLEAN
pay_100012,stl_200012,ORD-2012,NONE,CLEAN
pay_100013,stl_200013,ORD-2013,SETTLEMENT,FEE_VARIANCE
pay_100014,stl_200014,ORD-2014,SETTLEMENT,FEE_VARIANCE
pay_100015,stl_200015,ORD-2015,SETTLEMENT,FEE_VARIANCE
pay_100016,stl_200016,ORD-2016,NONE,CLEAN
pay_100017,stl_200017,ORD-2017,NONE,CLEAN
pay_100018,stl_200018,ORD-2018,NONE,CLEAN
pay_100019,stl_200019,ORD-2019,LEDGER,LEDGER_NOT_UPDATED
pay_100020,stl_200020,ORD-2020,NONE,CLEAN
pay_100021,stl_200021,ORD-2021,NONE,CLEAN
pay_100022,stl_200022,ORD-2022,NONE,CLEAN
pay_100023,stl_200023,ORD-2023,SETTLEMENT,FEE_VARIANCE
pay_100024,stl_200024,ORD-2024,NONE,CLEAN
pay_100025,stl_200025,ORD-2025,NONE,CLEAN
pay_100026,stl_200026,ORD-2026,NONE,CLEAN
pay_100027,,ORD-2027,GATEWAY,SETTLEMENT_MISSING
pay_100028,stl_200028,ORD-2028,SETTLEMENT,FEE_VARIANCE
pay_100029,stl_200029,ORD-2029,NONE,CLEAN
pay_100030,stl_200030,,LEDGER,LEDGER_MISSING
pay_100031,stl_200031,ORD-2031,NONE,CLEAN
pay_100032,,ORD-2032,GATEWAY,SETTLEMENT_MISSING
pay_100033,stl_200033,ORD-2033,NONE,CLEAN
pay_100034,stl_200034,ORD-2034,NONE,CLEAN
pay_100035,stl_200035,ORD-2035,NONE,CLEAN
pay_100036,stl_200036,ORD-2036,SETTLEMENT,FEE_VARIANCE
pay_100037,,ORD-2037,GATEWAY,SETTLEMENT_MISSING
pay_100038,stl_200038,ORD-2038,LEDGER,LEDGER_NOT_UPDATED
pay_100039,stl_200039,ORD-2039,NONE,CLEAN
pay_100040,stl_200040,ORD-2040,NONE,CLEAN
pay_100041,stl_200041,ORD-2041,LEDGER,LEDGER_NOT_UPDATED
pay_100042,stl_200042,ORD-2042,NONE,CLEAN
pay_100043,stl_200043,ORD-2043,SETTLEMENT,FEE_VARIANCE
pay_100044,stl_200044,ORD-2044,LEDGER,LEDGER_NOT_UPDATED
pay_100045,stl_200045,ORD-2045,NONE,CLEAN
pay_100046,stl_200046,,LEDGER,LEDGER_MISSING
pay_100047,stl_200047,ORD-2047,NONE,CLEAN
pay_100048,stl_200048,ORD-2048,LEDGER,LEDGER_NOT_UPDATED
pay_100049,stl_200049,ORD-2049,SETTLEMENT,FEE_VARIANCE
pay_100050,stl_200050,ORD-2050,SETTLEMENT,FEE_VARIANCE
pay_100051,stl_200051,ORD-2051,LEDGER,LEDGER_NOT_UPDATED
pay_100052,stl_200052,ORD-2052,NONE,CLEAN
pay_100053,stl_200053,ORD-2053,NONE,CLEAN
pay_100054,stl_200054,ORD-2054,LEDGER,LEDGER_NOT_UPDATED
pay_100055,stl_200055,ORD-2055,SETTLEMENT,FEE_VARIANCE
pay_100056,stl_200056,ORD-2056,LEDGER,LEDGER_NOT_UPDATED
pay_100057,stl_200057,ORD-2057,NONE,CLEAN
pay_100058,stl_200058,ORD-2058,NONE,CLEAN
pay_100059,stl_200059,ORD-2059,NONE,CLEAN
pay_100060,stl_200060,ORD-2060,NONE,CLEAN
