settlement_id,txn_id,settled_amount,fee,settlement_date
stl_200041,pay_100041,3188.84,65.08,2026-08-21
stl_200044,pay_100044,4694.46,95.81,2026-08-16
stl_200048,pay_100048,4121.2,84.11,2026-08-05
stl_200013,pay_100013,2496.09,79.47,2026-08-12
stl_200001,pay_100001,2052.27,41.88,2026-08-03
stl_200056,pay_100056,4119.08,84.06,2026-08-03
stl_200020,pay_100020,985.52,20.11,2026-08-05
stl_200052,pay_100052,3286.81,67.08,2026-08-13
stl_200039,pay_100039,3469.93,70.81,2026-08-10
stl_200019,pay_100019,1533.76,31.3,2026-08-14
stl_200057,pay_100057,4029.01,82.22,2026-08-18
stl_200008,pay_100008,679.8,13.87,2026-08-20
stl_200053,pay_100053,295.67,6.03,2026-08-22
stl_200055,pay_100055,1543.47,61.77,2026-08-09
stl_200017,pay_100017,4146.23,84.62,2026-08-10
stl_200015,pay_100015,338.66,48.53,2026-08-04
stl_200006,pay_100006,414.15,8.45,2026-08-06
stl_200046,pay_100046,1156.39,23.6,2026-08-21
stl_200045,pay_100045,573.87,11.71,2026-08-05
stl_200038,pay_100038,884.64,18.05,2026-08-19
stl_200059,pay_100059,3057.66,62.4,2026-08-06
stl_200010,pay_100010,2530.15,51.64,2026-08-19
stl_200049,pay_100049,4346.96,119.28999999999999,2026-08-15
stl_200051,pay_100051,906.03,18.49,2026-08-16
stl_200009,pay_100009,2771.61,56.56,2026-08-04
stl_200005,pay_100005,4653.04,94.96,2026-08-20
stl_200003,pay_100003,2162.11,44.12,2026-08-09
stl_200034,pay_100034,4689.55,95.7,2026-08-21
stl_200011,pay_100011,2949.51,60.19,2026-08-16
stl_200021,pay_100021,803.43,16.4,2026-08-09
stl_200018,pay_100018,480.41,9.8,2026-08-11
stl_200042,pay_100042,4044.46,82.54,2026-08-09
stl_200026,pay_100026,1430.98,29.2,2026-08-02
stl_200043,pay_100043,3597.41,110.41,2026-08-02
stl_200031,pay_100031,712.13,14.53,2026-08-21
stl_200033,pay_100033,525.78,10.73,2026-08-08
stl_200040,pay_100040,3826.21,78.09,2026-08-19
stl_200054,pay_100054,2235.66,45.63,2026-08-08
stl_200002,pay_100002,1915.22,39.09,2026-08-03
stl_200025,pay_100025,3292.68,67.2,2026-08-02
stl_200007,pay_100007,749.11,15.29,2026-08-11
stl_200022,pay_100022,977.61,19.95,2026-08-14
stl_200024,pay_100024,4700.19,95.92,2026-08-06
stl_200014,pay_100014,2581.31,74.97,2026-08-07
stl_200029,pay_100029,2040.77,41.65,2026-08-14
stl_200023,pay_100023,4199.82,146.31,2026-08-10
stl_200060,pay_100060,3606.33,73.6,2026-08-19
stl_200036,pay_100036,836.4,54.36,2026-08-12
stl_200030,pay_100030,487.83,9.96,2026-08-04
stl_200050,pay_100050,2351.08,71.09,2026-08-04
stl_200058,pay_100058,2696.72,55.04,2026-08-18
stl_200016,pay_100016,3465.69,70.73,2026-08-21
stl_200047,pay_100047,2450.46,50.01,2026-08-22
stl_200012,pay_100012,3483.09,71.08,2026-08-09
stl_200035,pay_100035,4188.42,85.48,2026-08-16
stl_200028,pay_100028,4647.44,112.63,2026-08-22
